scenario_id,S,K,T,sigma,r,moneyness,num_paths,mc_runtime_ms,mc_price
156,196.587254,170.559997,1.884232,0.253036,0.074441,1.152599,20000,1.498997,54.992843
157,152.846157,198.262909,1.069636,0.312828,0.001819,0.770927,20000,1.498997,6.692665
158,194.657798,150.841848,0.322968,0.406108,0.032067,1.290476,20000,1.498997,47.644602
159,204.226069,166.633024,0.271813,0.481874,0.032043,1.225604,20000,1.498997,44.309698
160,68.359874,54.381784,1.892861,0.471411,0.026912,1.257036,20000,1.498997,24.529706
161,52.8252,53.221346,0.928187,0.316836,0.065858,0.992557,20000,1.498997,7.731781
162,44.70348,56.662658,1.879692,0.170669,0.024724,0.788941,20000,1.498997,1.311057
163,61.45781,52.245882,1.059727,0.418306,0.073088,1.176319,20000,1.498997,17.063015
164,88.730649,71.778199,1.511069,0.573545,0.033462,1.236178,20000,1.498997,33.52938
165,184.774295,145.475525,0.082262,0.312421,0.033661,1.27014,20000,1.498997,39.764263
166,95.742316,79.591478,0.139767,0.439433,0.052485,1.202922,20000,1.498997,17.452814
167,208.124134,163.074483,0.069072,0.210682,0.057755,1.276252,20000,1.498997,45.65678
168,59.248405,63.437479,0.403339,0.282253,0.037561,0.933965,20000,1.498997,2.92762
169,157.257194,179.33296,1.225997,0.321171,0.014982,0.876901,20000,1.498997,15.144983
170,173.105288,150.479066,0.386655,0.482146,0.00457,1.150361,20000,1.498997,32.73191
171,108.823781,120.274102,0.116357,0.254038,0.074416,0.904798,20000,1.498997,0.773448
172,116.98724,118.353656,0.363253,0.537441,0.015412,0.988455,20000,1.498997,14.596894
173,94.731096,103.816126,1.515368,0.319425,0.07884,0.912489,20000,1.498997,16.015912
174,84.616245,114.534491,0.929459,0.311097,0.051454,0.738784,20000,1.498997,3.083097
175,166.173815,163.322577,1.305462,0.462614,0.077142,1.017458,20000,1.498997,42.310795
176,61.322509,53.644293,0.65913,0.402101,0.047214,1.143132,20000,1.498997,13.059394
177,123.135717,95.364487,0.765106,0.394728,0.067304,1.291211,20000,1.498997,36.687962
178,75.566507,97.184031,0.507549,0.495879,0.026587,0.777561,20000,1.498997,4.434567
179,243.772374,194.743728,1.695685,0.133122,0.06353,1.25176,20000,1.498997,69.153502
180,184.143633,151.811267,0.425279,0.54262,0.077168,1.212977,20000,1.498997,46.996936
181,236.181882,195.392606,0.224758,0.166728,0.064803,1.208755,20000,1.498997,43.477793
182,56.159339,62.914725,1.858038,0.285265,0.013115,0.892626,20000,1.498997,6.795211
183,72.036214,95.230538,1.943,0.595774,0.019732,0.75644,20000,1.498997,17.410631
184,88.256051,105.265181,1.424908,0.426812,0.034165,0.838416,20000,1.498997,13.817266
185,45.712729,65.216087,0.256604,0.501805,0.01357,0.700943,20000,1.498997,0.522821
186,150.568278,187.06439,1.820951,0.310614,0.078219,0.804901,20000,1.498997,20.085843
187,131.002962,140.183712,0.596697,0.592465,0.014054,0.934509,20000,1.498997,20.199146
188,132.173939,104.607278,1.866951,0.532736,0.071696,1.263525,20000,1.498997,55.450674
189,47.293571,61.561939,1.643536,0.228054,0.033053,0.768227,20000,1.498997,2.141289
190,122.006782,154.17936,0.443233,0.190232,0.021669,0.79133,20000,1.498997,0.272525
191,62.21879,88.138718,0.633906,0.461032,0.002961,0.705919,20000,1.498997,2.509807
192,44.840455,59.024017,0.129036,0.252417,0.075032,0.759698,20000,1.498997,0.002432
193,201.914699,187.019357,1.582507,0.289317,0.059903,1.079646,20000,1.498997,45.837895
194,85.787468,80.710308,0.165969,0.56573,0.014761,1.062906,20000,1.498997,10.468355
195,209.97933,164.194202,1.039367,0.534405,0.053523,1.278847,20000,1.498997,71.800086
196,134.252816,115.671036,0.954342,0.538629,0.061673,1.160643,20000,1.498997,39.872074
197,63.894826,72.337482,1.095139,0.377875,0.03843,0.883288,20000,1.498997,7.761864
198,123.747636,148.434594,1.102291,0.488593,0.061545,0.833685,20000,1.498997,19.80738
199,85.159544,108.32215,1.788707,0.268112,0.019377,0.786169,20000,1.498997,5.878003
200,73.034264,95.291563,1.233877,0.499582,0.076553,0.766429,20000,1.498997,11.403906
201,135.752005,192.766219,1.043954,0.10898,0.03548,0.704231,20000,0.328265,0.008986
202,112.672333,117.361196,1.974957,0.243373,0.02376,0.960048,20000,0.328265,15.760397
203,171.591121,174.086955,1.470589,0.1808,0.003631,0.985663,20000,0.328265,14.301062
204,123.483946,110.925019,1.247139,0.553791,0.009478,1.11322,20000,0.328265,36.229157
205,79.977531,113.076308,0.861288,0.146793,0.013486,0.707288,20000,0.328265,0.028757
206,195.332996,164.597205,1.094587,0.574159,0.014528,1.186733,20000,0.328265,61.059948
207,163.29266,183.930566,1.948183,0.355321,0.010454,0.887795,20000,0.328265,26.090866
208,73.58584,76.519814,0.91396,0.546066,0.03849,0.961657,20000,0.328265,14.868097
209,99.761669,86.195564,1.985421,0.493478,0.078273,1.157388,20000,0.328265,39.092796
210,129.535919,181.617341,1.028579,0.124831,0.002908,0.713235,20000,0.328265,0.025822
211,102.074325,108.809847,1.322403,0.466627,0.010902,0.938098,20000,0.328265,19.179076
212,161.347556,130.490553,1.267392,0.10014,0.002184,1.236469,20000,0.328265,31.433367
213,118.976357,113.285217,1.968093,0.313259,0.006855,1.050237,20000,0.328265,24.157286
214,93.410386,74.613293,0.920251,0.201209,0.027945,1.251927,20000,0.328265,21.310662
215,133.214138,159.984718,0.071958,0.230455,0.040292,0.832668,20000,0.328265,0.004812
216,117.520156,108.175116,0.663865,0.238605,0.062928,1.086388,20000,0.328265,17.21998
217,132.906338,155.022138,1.413909,0.366123,0.053618,0.857338,20000,0.328265,19.177026
218,112.03274,155.41525,1.91763,0.199702,0.05749,0.720861,20000,0.328265,4.381709
219,204.788602,167.593822,0.777468,0.435025,0.051396,1.221934,20000,0.328265,54.913982
220,76.315444,91.252546,0.770709,0.148701,0.058906,0.83631,20000,0.328265,0.844993
